[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings/public" [Client 172.17.0.1] [Length 443] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/nodes" [Client 172.17.0.1] [Length 11] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/info" [Client 172.17.0.1] [Length 58] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1" [Client 172.17.0.1] [Length 169] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3?excludeSnapshot=true&excludeSnapshotRaw=true" [Client 172.17.0.1] [Length 1512] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings" [Client 172.17.0.1] [Length 1368] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/status" [Client 172.17.0.1] [Length 72] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints?sort=&order=asc" [Client 172.17.0.1] [Length 111072] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/info" [Client 172.17.0.1] [Length 2282] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/version" [Client 172.17.0.1] [Length 822] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true" [Client 172.17.0.1] [Length 65114] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/stacks/5" [Client 172.17.0.1] [Length 528] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:10 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoint_groups" [Client 172.17.0.1] [Length 170] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:11 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:11 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true&filters=%7B%22label%22%3A%5B%22com.docker.compose.project%3Dtools%22%5D%7D" [Client 172.17.0.1] [Length 21725] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:11 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/stacks/5/file" [Client 172.17.0.1] [Length 3777] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:11 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3?excludeSnapshot=true&excludeSnapshotRaw=true" [Client 172.17.0.1] [Length 1512] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:11 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1/memberships" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:12:11 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true" [Client 172.17.0.1] [Length 65114] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1/memberships" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings/public" [Client 172.17.0.1] [Length 443] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/nodes" [Client 172.17.0.1] [Length 11] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/info" [Client 172.17.0.1] [Length 58] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1" [Client 172.17.0.1] [Length 169] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings" [Client 172.17.0.1] [Length 1368] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/status" [Client 172.17.0.1] [Length 72] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3?excludeSnapshot=true&excludeSnapshotRaw=true" [Client 172.17.0.1] [Length 1512] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/info" [Client 172.17.0.1] [Length 2282] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/version" [Client 172.17.0.1] [Length 822] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true&filters=%7B%22label%22%3A%5B%22com.docker.compose.project%3Dtools%22%5D%7D" [Client 172.17.0.1] [Length 21712] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1/memberships" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings/public" [Client 172.17.0.1] [Length 443] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/nodes" [Client 172.17.0.1] [Length 11] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/info" [Client 172.17.0.1] [Length 58] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1" [Client 172.17.0.1] [Length 169] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:19 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/status" [Client 172.17.0.1] [Length 72] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1/memberships" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings/public" [Client 172.17.0.1] [Length 443] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/nodes" [Client 172.17.0.1] [Length 11] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/info" [Client 172.17.0.1] [Length 58] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1" [Client 172.17.0.1] [Length 169] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings" [Client 172.17.0.1] [Length 1368] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/status" [Client 172.17.0.1] [Length 72] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3?excludeSnapshot=true&excludeSnapshotRaw=true" [Client 172.17.0.1] [Length 1512] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/info" [Client 172.17.0.1] [Length 2281] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/version" [Client 172.17.0.1] [Length 822] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true&filters=%7B%22label%22%3A%5B%22com.docker.compose.project%3Dtools%22%5D%7D" [Client 172.17.0.1] [Length 21712] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1/memberships" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings/public" [Client 172.17.0.1] [Length 443] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/nodes" [Client 172.17.0.1] [Length 11] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/info" [Client 172.17.0.1] [Length 58] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1" [Client 172.17.0.1] [Length 169] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:46 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/status" [Client 172.17.0.1] [Length 72] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1/memberships" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings/public" [Client 172.17.0.1] [Length 443] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/nodes" [Client 172.17.0.1] [Length 11] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/info" [Client 172.17.0.1] [Length 58] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/1" [Client 172.17.0.1] [Length 169] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/settings" [Client 172.17.0.1] [Length 1368] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/system/status" [Client 172.17.0.1] [Length 72] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3?excludeSnapshot=true&excludeSnapshotRaw=true" [Client 172.17.0.1] [Length 1512] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/info" [Client 172.17.0.1] [Length 2282] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/version" [Client 172.17.0.1] [Length 822] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:13:49 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true&filters=%7B%22label%22%3A%5B%22com.docker.compose.project%3Dtools%22%5D%7D" [Client 172.17.0.1] [Length 21712] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
